cdli_id,factgrid_qid,artifact_label,write_action,claims_written,claims_skipped,write_status,write_error,label_collision_qid
257472,Q2162285,Cuneiform Tablet UM 73-08-003,create,10,1,written,,
439667,Q2162286,"Cuneiform Tablet KBo 39, 140",create,10,1,written,,
304372,Q2162287,"Cuneiform Tablet YOS 21, 023",create,10,1,written,,
114946,Q1950793,"Cuneiform Tablet MVN 07, 009",update,4,8,written,,
201212,Q2009400,"Cuneiform Tablet Princeton 2, 214",update,4,8,written,,
352512,Q2162288,"Cuneiform Tablet ARM 22, 066",create,11,1,written,,
399416,Q2162289,Cuneiform Tablet K 11720,create,10,1,written,,
570993,Q2162290,Cuneiform Tablet BM 047421,create,8,1,written,,
20382,Q2063779,"Cuneiform Tablet VS 27, 066",update,4,8,written,,
412537,Q2162291,Cuneiform Tablet SVJAD 055,create,9,1,written,,
517457,Q1990857,"Cuneiform Tablet Nisaba 33, 279",update,4,7,written,,
444357,Q2162292,"Cuneiform Tablet KUB 16, 006",create,10,1,written,,
294146,Q2162293,"Cuneiform Tablet GCCI 1, 280",create,10,1,written,,
541237,Q2162294,Cuneiform Artifact CDLI Seals 020446 (physical),create,9,1,written,,
391026,Q2162295,"Cuneiform Tablet BPOA 07, 2565",create,11,1,written,,
562557,Q2162296,Cuneiform Tablet BM 034288,create,9,1,written,,
505893,Q2162297,Cuneiform Tablet YBC 09559,create,8,1,written,,
549607,Q2162298,"Cuneiform Tablet RA 111, 92-94",create,9,1,written,,
209622,Q1999687,"Cuneiform Tablet Ontario 2, 294",update,4,8,written,,
431257,Q2162299,"Cuneiform Tablet MCS 3, 23 no. 1",create,8,1,written,,
371272,Q2162300,"Cuneiform Tablet VS 01, 094",create,11,1,written,,
106582,Q2000667,"Cuneiform Tablet BIN 05, 148",update,4,8,written,,
582703,Q2162301,Cuneiform Tablet BM 062603,create,10,1,written,,
222572,Q2162302,"Cuneiform Artifact RIME 1.09.05.03, ex. 23",create,10,1,written,,
274312,Q2162303,"Cuneiform Tablet TCTI 3, 06649",create,11,1,written,,
