review_decision,review_notes,old_cdli_id,canonical_factgrid_qid,canonical_factgrid_url,duplicate_factgrid_qid,duplicate_factgrid_url,canonical_label,duplicate_label_to_preserve,all_labels_seen,duplicate_group_qids,duplicate_count_for_cdli_id,reuse_pool_status,future_reuse_status,source_duplicate_audit,reuse_precondition_1,reuse_precondition_2,reuse_precondition_3
,,P229901,Q894824,https://database.factgrid.de/wiki/Item:Q894824,Q2063670,https://database.factgrid.de/wiki/Item:Q2063670,Cuneiform Tablet HS 1702,Cuneiform Tablet HS 1702,Cuneiform Tablet HS 1702,Q2063670,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229903,Q894901,https://database.factgrid.de/wiki/Item:Q894901,Q2063672,https://database.factgrid.de/wiki/Item:Q2063672,Cuneiform Tablet HS 1704,Cuneiform Tablet HS 1704,Cuneiform Tablet HS 1704,Q2063672,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229904,Q893848,https://database.factgrid.de/wiki/Item:Q893848,Q2063674,https://database.factgrid.de/wiki/Item:Q2063674,Cuneiform Tablet HS 1706,Cuneiform Tablet HS 1706,Cuneiform Tablet HS 1706,Q2063674,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229905,Q894016,https://database.factgrid.de/wiki/Item:Q894016,Q2063676,https://database.factgrid.de/wiki/Item:Q2063676,Cuneiform Tablet HS 1708,Cuneiform Tablet HS 1708,Cuneiform Tablet HS 1708,Q2063676,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229906,Q894594,https://database.factgrid.de/wiki/Item:Q894594,Q2063678,https://database.factgrid.de/wiki/Item:Q2063678,Cuneiform Tablet HS 1710,Cuneiform Tablet HS 1710,Cuneiform Tablet HS 1710,Q2063678,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229907,Q894332,https://database.factgrid.de/wiki/Item:Q894332,Q2063680,https://database.factgrid.de/wiki/Item:Q2063680,Cuneiform Tablet HS 1711,Cuneiform Tablet HS 1711,Cuneiform Tablet HS 1711,Q2063680,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229909,Q893922,https://database.factgrid.de/wiki/Item:Q893922,Q2063682,https://database.factgrid.de/wiki/Item:Q2063682,Cuneiform Tablet HS 1714,Cuneiform Tablet HS 1714,Cuneiform Tablet HS 1714,Q2063682,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229910,Q894112,https://database.factgrid.de/wiki/Item:Q894112,Q2063684,https://database.factgrid.de/wiki/Item:Q2063684,Cuneiform Tablet HS 1715,Cuneiform Tablet HS 1715,Cuneiform Tablet HS 1715,Q2063684,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229911,Q894879,https://database.factgrid.de/wiki/Item:Q894879,Q2063686,https://database.factgrid.de/wiki/Item:Q2063686,Cuneiform Tablet HS 1717,Cuneiform Tablet HS 1717,Cuneiform Tablet HS 1717,Q2063686,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229912,Q893912,https://database.factgrid.de/wiki/Item:Q893912,Q2047425,https://database.factgrid.de/wiki/Item:Q2047425,Cuneiform Tablet HS 1718,Cuneiform Tablet HS 1718,"Cuneiform Tablet HS 1718 | Cuneiform Tablet TMH 08, 09",Q2047425,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229913,Q894795,https://database.factgrid.de/wiki/Item:Q894795,Q2063688,https://database.factgrid.de/wiki/Item:Q2063688,Cuneiform Tablet HS 1721,Cuneiform Tablet HS 1721,Cuneiform Tablet HS 1721,Q2063688,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229914,Q893925,https://database.factgrid.de/wiki/Item:Q893925,Q2063690,https://database.factgrid.de/wiki/Item:Q2063690,Cuneiform Tablet HS 1722,Cuneiform Tablet HS 1722,Cuneiform Tablet HS 1722,Q2063690,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229915,Q894418,https://database.factgrid.de/wiki/Item:Q894418,Q2063692,https://database.factgrid.de/wiki/Item:Q2063692,Cuneiform Tablet HS 1723,Cuneiform Tablet HS 1723,Cuneiform Tablet HS 1723,Q2063692,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229916,Q894221,https://database.factgrid.de/wiki/Item:Q894221,Q2063694,https://database.factgrid.de/wiki/Item:Q2063694,Cuneiform Tablet HS 1725,Cuneiform Tablet HS 1725,Cuneiform Tablet HS 1725,Q2063694,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229917,Q894631,https://database.factgrid.de/wiki/Item:Q894631,Q2063696,https://database.factgrid.de/wiki/Item:Q2063696,Cuneiform Tablet HS 1727,Cuneiform Tablet HS 1727,Cuneiform Tablet HS 1727,Q2063696,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229918,Q894438,https://database.factgrid.de/wiki/Item:Q894438,Q2063698,https://database.factgrid.de/wiki/Item:Q2063698,Cuneiform Tablet HS 1728,Cuneiform Tablet HS 1728,Cuneiform Tablet HS 1728,Q2063698,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
