reuse_pool_status,reuse_candidate_class,qid_available_for_future_entity,canonical_factgrid_qid,old_cdli_id,old_duplicate_label_to_preserve,canonical_label,old_aliases_to_preserve,reuse_precondition_1,reuse_precondition_2,reuse_precondition_3,future_entity_type,future_entity_label,future_reuse_status,source_duplicate_audit,human_review_decision,human_review_notes
candidate,duplicate_p692_cdli_artifact,Q2047044,Q896991,P020448,Cuneiform Tablet HS 784,Cuneiform Tablet HS 784,"Cuneiform Tablet HS 784 | Cuneiform Tablet TMH 05, 034",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047046,Q894358,P020449,Cuneiform Tablet HS 785,Cuneiform Tablet HS 785,"Cuneiform Tablet HS 785 | Cuneiform Tablet TMH 05, 035",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047047,Q894401,P020450,Cuneiform Tablet HS 786,Cuneiform Tablet HS 786,"Cuneiform Tablet HS 786 | Cuneiform Tablet TMH 05, 036",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047048,Q896992,P020451,Cuneiform Tablet HS 787,Cuneiform Tablet HS 787,"Cuneiform Tablet HS 787 | Cuneiform Tablet TMH 05, 037",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047050,Q894058,P020452,Cuneiform Tablet HS 788,Cuneiform Tablet HS 788,"Cuneiform Tablet HS 788 | Cuneiform Tablet TMH 05, 038",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047052,Q893887,P020453,Cuneiform Tablet HS 789,Cuneiform Tablet HS 789,"Cuneiform Tablet HS 789 | Cuneiform Tablet HS 0789 | Cuneiform Tablet TMH 05, 039",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047056,Q896995,P020455,Cuneiform Tablet HS 0791,Cuneiform Tablet HS 0791,"Cuneiform Tablet HS 0791 | Cuneiform Tablet TMH 05, 041 + 212",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047058,Q894062,P020456,Cuneiform Tablet HS 792,Cuneiform Tablet HS 792,"Cuneiform Tablet HS 792 | Cuneiform Tablet TMH 05, 042",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047060,Q894609,P020457,Cuneiform Tablet HS 793,Cuneiform Tablet HS 793,"Cuneiform Tablet HS 793 | Cuneiform Tablet TMH 05, 043",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047062,Q896996,P020458,Cuneiform Tablet HS 794,Cuneiform Tablet HS 794,"Cuneiform Tablet HS 794 | Cuneiform Tablet TMH 05, 044",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047064,Q894026,P020459,Cuneiform Tablet HS 795,Cuneiform Tablet HS 795,"Cuneiform Tablet HS 795 | Cuneiform Tablet TMH 05, 045",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047066,Q894355,P020460,Cuneiform Tablet HS 796,Cuneiform Tablet HS 796,"Cuneiform Tablet HS 796 | Cuneiform Tablet TMH 05, 046",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047068,Q894161,P020461,Cuneiform Tablet HS 797,Cuneiform Tablet HS 797,"Cuneiform Tablet HS 797 | Cuneiform Tablet HS 0797 | Cuneiform Tablet TMH 05, 047",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047070,Q894552,P020462,Cuneiform Tablet HS 798,Cuneiform Tablet HS 798,"Cuneiform Tablet HS 798 | Cuneiform Tablet TMH 05, 048",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047072,Q894668,P020463,Cuneiform Tablet HS 799,Cuneiform Tablet HS 799,"Cuneiform Tablet HS 799 | Cuneiform Tablet TMH 05, 049",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047075,Q896998,P020466,Cuneiform Tablet HS 802,Cuneiform Tablet HS 802,"Cuneiform Tablet HS 802 | Cuneiform Tablet TMH 05, 052",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047077,Q894041,P020467,Cuneiform Tablet HS 803,Cuneiform Tablet HS 803,"Cuneiform Tablet HS 803 | Cuneiform Tablet TMH 05, 053",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047079,Q894042,P020468,Cuneiform Tablet HS 804,Cuneiform Tablet HS 804,"Cuneiform Tablet HS 804 | Cuneiform Tablet TMH 05, 054",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047081,Q894719,P020469,Cuneiform Tablet HS 805,Cuneiform Tablet HS 805,"Cuneiform Tablet HS 805 | Cuneiform Tablet TMH 05, 055",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047083,Q894420,P020470,Cuneiform Tablet HS 806,Cuneiform Tablet HS 806,"Cuneiform Tablet HS 806 | Cuneiform Tablet TMH 05, 056",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047085,Q894487,P020471,Cuneiform Tablet HS 807,Cuneiform Tablet HS 807,"Cuneiform Tablet HS 807 | Cuneiform Tablet TMH 05, 057",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
