Clay_tablet,Clay_tabletLabel,CDLI_ID
https://database.factgrid.de/entity/Q892938,Cuneiform Tablet KHT 409,P531884
https://database.factgrid.de/entity/Q892939,Cuneiform Tablet KHT 411,P531886
https://database.factgrid.de/entity/Q892940,Cuneiform Tablet KHT 412,P531887
https://database.factgrid.de/entity/Q892941,Cuneiform Tablet KHT 457,P531888
https://database.factgrid.de/entity/Q892943,Cuneiform Tablet KHT 458,P531890
https://database.factgrid.de/entity/Q892944,Cuneiform Tablet KHT 460,P531891
https://database.factgrid.de/entity/Q892945,Cuneiform Tablet KHT 466,P532126
https://database.factgrid.de/entity/Q892946,Cuneiform Tablet KHT 464,P531893
https://database.factgrid.de/entity/Q892947,Cuneiform Tablet KHT 465,P531894
https://database.factgrid.de/entity/Q892948,Cuneiform Tablet KHT 467,P532127
https://database.factgrid.de/entity/Q892950,Cuneiform Tablet KHT 469,P532128
https://database.factgrid.de/entity/Q892953,Cuneiform Tablet KHT 471,P531896
https://database.factgrid.de/entity/Q892954,Cuneiform Tablet KHT 472,P531897
https://database.factgrid.de/entity/Q892955,Cuneiform Tablet KHT 473,P531898
https://database.factgrid.de/entity/Q892956,Cuneiform Tablet KHT 474,P531899
https://database.factgrid.de/entity/Q892957,Cuneiform Tablet KHT 475,P532129
https://database.factgrid.de/entity/Q892959,Cuneiform Tablet KHT 476,P531900
https://database.factgrid.de/entity/Q892960,Cuneiform Tablet KHT 477,P531901
https://database.factgrid.de/entity/Q892961,Cuneiform Tablet KHT 478,P531902
https://database.factgrid.de/entity/Q892962,Cuneiform Tablet KHT 479,P531903
https://database.factgrid.de/entity/Q892963,Cuneiform Tablet KHT 480,P531904
https://database.factgrid.de/entity/Q892964,Cuneiform Tablet KHT 483,P531905
https://database.factgrid.de/entity/Q892965,Cuneiform Tablet KHT 485,P536907
https://database.factgrid.de/entity/Q892966,Cuneiform Tablet KHT 486,P531908
https://database.factgrid.de/entity/Q892967,Cuneiform Tablet KHT 487,P531909
https://database.factgrid.de/entity/Q892968,Cuneiform Tablet KHT 488,P531910
https://database.factgrid.de/entity/Q892969,Cuneiform Tablet KHT 489,P531911
https://database.factgrid.de/entity/Q892970,Cuneiform Tablet KHT 490,P531912
https://database.factgrid.de/entity/Q892971,Cuneiform Tablet KHT 491,P531913
https://database.factgrid.de/entity/Q892972,Cuneiform Tablet KHT 492,P532130
https://database.factgrid.de/entity/Q892973,Cuneiform Tablet KHT 493,P531914
https://database.factgrid.de/entity/Q892974,Cuneiform Tablet KHT 495,P531916
https://database.factgrid.de/entity/Q892975,Cuneiform Tablet KHT 496,P531917
https://database.factgrid.de/entity/Q892976,Cuneiform Tablet KHT 497,P531918
https://database.factgrid.de/entity/Q892977,Cuneiform Tablet KHT 498,P532131
https://database.factgrid.de/entity/Q892980,Cuneiform Tablet KHT 500,P531920
https://database.factgrid.de/entity/Q893001,Cuneiform Tablet KHT 501,P531921
https://database.factgrid.de/entity/Q893002,Cuneiform Tablet KHT 502,P531922
https://database.factgrid.de/entity/Q893003,Cuneiform Tablet KHT 503,P531923
https://database.factgrid.de/entity/Q893004,Cuneiform Tablet KHT 504,P531924
https://database.factgrid.de/entity/Q893005,Cuneiform Tablet KHT 505,P531925
https://database.factgrid.de/entity/Q893006,Cuneiform Tablet KHT 506,P531926
https://database.factgrid.de/entity/Q893007,Cuneiform Tablet KHT 459,P532132
https://database.factgrid.de/entity/Q893010,Cuneiform Tablet KHT 507,P531927
https://database.factgrid.de/entity/Q893011,Cuneiform Tablet KHT 508,P531928
https://database.factgrid.de/entity/Q893012,Cuneiform Tablet KHT 509,P531929
https://database.factgrid.de/entity/Q893013,Cuneiform Tablet KHT 512,P531932
https://database.factgrid.de/entity/Q893014,Cuneiform Tablet KHT 513,P531933
https://database.factgrid.de/entity/Q893015,Cuneiform Tablet KHT 514,P531934
https://database.factgrid.de/entity/Q893016,Cuneiform Tablet KHT 515,P531935
https://database.factgrid.de/entity/Q893017,Cuneiform Tablet KHT 516,P531936
https://database.factgrid.de/entity/Q893018,Cuneiform Tablet KHT 517,P531937
https://database.factgrid.de/entity/Q893020,Cuneiform Tablet KHT 520,P531940
https://database.factgrid.de/entity/Q893021,Cuneiform Tablet KHT 521,P531941
https://database.factgrid.de/entity/Q893022,Cuneiform Tablet KHT 522,P531942
https://database.factgrid.de/entity/Q893023,Cuneiform Tablet KHT 523,P531943
https://database.factgrid.de/entity/Q893024,Cuneiform Tablet KHT 524,P531944
https://database.factgrid.de/entity/Q893025,Cuneiform Tablet KHT 525,P531945
https://database.factgrid.de/entity/Q893026,Cuneiform Tablet KHT 526,P531946
https://database.factgrid.de/entity/Q471142,Cuneiform Tablet ArOr 47 42-43,P358030
https://database.factgrid.de/entity/Q499882,Cuneiform Tablet BIN 4 10,P292517
https://database.factgrid.de/entity/Q499883,Cuneiform Tablet BIN 6 118,P289590
https://database.factgrid.de/entity/Q499884,Cuneiform Tablet BIN 6 59,P297478
https://database.factgrid.de/entity/Q499885,"Cuneiform Tablet BIN 6, 66",P289598
https://database.factgrid.de/entity/Q499886,Cuneiform Tablet CCT 2 32a,P358539
https://database.factgrid.de/entity/Q499887,Cuneiform Tablet CCT 5 2b,P358806
https://database.factgrid.de/entity/Q499888,Cuneiform Tablet CCT 5 8a,P358885
