Len,Aen,,Aen,FG-Q,P2_1,P2_2,P694,P48,P131_1,P131_2
Petronell-Carnuntum,Carnuntum (mod. Petronell-Carnuntum),,Carnuntum (mod. Petronell-Carnuntum),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1014,,Q389597,Q393513
Qantīr,mod. Qantīr),,uncertain (mod. Qantīr),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/903,,Q389597,Q393513
Qaṭibat,mod. Qaṭibat),,uncertain (mod. Qaṭibat),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/76,,Q389597,Q393513
Qāṭīnu,Qāṭīnu,,Qāṭīnu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/397,,Q389597,Q393513
Qatuna,Qatuna,,Qatuna (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/61,,Q389597,Q393513
Qufṭ,mod. Qufṭ),,uncertain (mod. Qufṭ),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/906,,Q389597,Q393513
Quwakh Tapeh,mod. Quwakh Tapeh),,uncertain (mod. Quwakh Tapeh),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1023,,Q389597,Q393513
Sagub,Sagub,,Sagub (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/255,,Q389597,Q393513
Šaḫrinu,Šaḫrinu,,Šaḫrinu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/87,,Q389597,Q393513
Saḫrītu,Saḫrītu,,Saḫrītu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1018,,Q389597,Q393513
Ṣan al-Hagar,mod. Ṣan al-Hagar),,uncertain (mod. Ṣan al-Hagar),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/950,,Q389597,Q393513
Šašrum,Šašrum,,Šašrum (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/186,,Q389597,Q393513
Shapiya,mod. Shapiya),,uncertain (mod. Shapiya),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/924,,Q389597,Q393513
Šuppatu,Šuppatu,,Šuppatu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1019,,Q389597,Q393513
Ṣurmeš,Ṣurmeš,,Ṣurmeš (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/70,,Q389597,Q393513
Surru,Surru,,Surru (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/29,,Q389597,Q393513
Šūru,Šūru,,Šūru (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/644,,Q389597,Q393513
Šušan,Šušan,,Šušan (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1017,,Q389597,Q393513
Tag,mod. Tag),,uncertain (mod. Tag),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/617,,Q389597,Q393513
Tall Abū al-Dhahab,mod. Tall Abū al-Dhahab),,uncertain (mod. Tall Abū al-Dhahab),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/658,,Q389597,Q393513
Tall Āfis,mod. Tall Āfis),,uncertain (mod. Tall Āfis),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/661,,Q389597,Q393513
Tall al-Ḍabʻa,mod. Tall al-Ḍabʻa),,uncertain (mod. Tall al-Ḍabʻa),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/722,,Q389597,Q393513
Tall al-Gharrān,mod. Tall al-Gharrān),,uncertain (mod. Tall al-Gharrān),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/753,,Q389597,Q393513
Tall al-Nabī Mandū,Qadeš (mod. Tall al-Nabī Mandū),,Qadeš (mod. Tall al-Nabī Mandū),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/899,,Q389597,Q393513
Tall al-Qaddīsah Barbārah,Kar-Mullissi (mod. Tall al-Qaddīsah Barbārah),,Kar-Mullissi (mod. Tall al-Qaddīsah Barbārah),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/634,,Q389597,Q393513
Tall Bāzy,Armanum? (mod. Tall Bāzy),,Armanum? (mod. Tall Bāzy),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/692,,Q389597,Q393513
Tall Bint al-Amīr,mod. Tall Bint al-Amīr),,uncertain (mod. Tall Bint al-Amīr),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/685,,Q389597,Q393513
Tall Ḥadwat al-Faras,mod. Tall Ḥadwat al-Faras),,uncertain (mod. Tall Ḥadwat al-Faras),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/766,,Q389597,Q393513
Tall Kozkhān,mod. Tall Kozkhān),,uncertain (mod. Tall Kozkhān),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/827,,Q389597,Q393513
Tall Nūyaja,mod. Tall Nūyaja),,uncertain (mod. Tall Nūyaja),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/874,,Q389597,Q393513
Tall S‘aīd,mod. Tall S‘aīd),,uncertain (mod. Tall S‘aīd),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/915,,Q389597,Q393513
Tall Warīsh,mod. Tall Warīsh),,uncertain (mod. Tall Warīsh),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/996,,Q389597,Q393513
Tall-I Nokhodi,mod. Tall-I Nokhodi),,uncertain (mod. Tall-I Nokhodi),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/649,,Q389597,Q393513
Tel Duweihes,mod. Tel Duweihes),,uncertain (mod. Tel Duweihes),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/960,,Q389597,Q393513
Tel Gamma,mod. Tel Gamma),,uncertain (mod. Tel Gamma),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/793,,Q389597,Q393513
Tel Hebron,mod. Tel Hebron),,uncertain (mod. Tel Hebron),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/771,,Q389597,Q393513
Tell Abu Galgal,mod. Tell Abu Galgal),,uncertain (mod. Tell Abu Galgal),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/645,,Q389597,Q393513
Tell Abu Nakhlab,mod. Tell Abu Nakhlab),,uncertain (mod. Tell Abu Nakhlab),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/8,,Q389597,Q393513
Tell Bāshir,Turbessel (mod. Tell Bāshir),,Turbessel (mod. Tell Bāshir),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/650,,Q389597,Q393513
Tell Basmaya,mod. Tell Basmaya),,uncertain (mod. Tell Basmaya),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1012,,Q389597,Q393513
Tell Kar,mod. Tell Kar),,uncertain (mod. Tell Kar),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/641,,Q389597,Q393513
