Label,Modern,count,Provenience
uncertain,mod. Dura-Europus,2,2 uncertain (mod. Dura-Europus)
uncertain,mod. El-Khargeh,2,2 uncertain (mod. El-Khargeh)
uncertain,mod. Failaka,2,2 uncertain (mod. Failaka)
uncertain,mod. Faqous,2,2 uncertain (mod. Faqous)
uncertain,mod. Gezer,4,4 uncertain (mod. Gezer)
uncertain,mod. Ghazir,1,1 uncertain (mod. Ghazir)
uncertain,mod. Gherla Romania,2,2 uncertain (mod. Gherla Romania)
uncertain,mod. Giricano,15,15 uncertain (mod. Giricano)
uncertain,mod. Glai'a,4,4 uncertain (mod. Glai'a)
uncertain,mod. Godin Tepe,39,39 uncertain (mod. Godin Tepe)
uncertain,mod. Habuba Kabira,25,25 uncertain (mod. Habuba Kabira)
uncertain,mod. Hadidi,15,15 uncertain (mod. Hadidi)
uncertain,mod. Hamadan,3,3 uncertain (mod. Hamadan)
uncertain,mod. Hazor,3,3 uncertain (mod. Hazor)
uncertain,mod. Hillah,4,4 uncertain (mod. Hillah)
uncertain,mod. Himeri,1,1 uncertain (mod. Himeri)
uncertain,mod. Himrin/Tell Suleimah,51,51 uncertain (mod. Himrin/Tell Suleimah)
uncertain,mod. Hissar,1,1 uncertain (mod. Hissar)
uncertain,mod. Hour Soleiman,3,3 uncertain (mod. Hour Soleiman)
uncertain,mod. Ibzaih,8,8 uncertain (mod. Ibzaih)
uncertain,mod. Ishan-Dhahak,3,3 uncertain (mod. Ishan-Dhahak)
uncertain,mod. Išān Hāfudh,4,4 uncertain (mod. Išān Hāfudh)
uncertain,mod. Jebel Aruda,13,13 uncertain (mod. Jebel Aruda)
uncertain,mod. Jedide,2,2 uncertain (mod. Jedide)
uncertain,mod. Jemdet Nasr,318,318 uncertain (mod. Jemdet Nasr)
uncertain,mod. Jericho,2,2 uncertain (mod. Jericho)
uncertain,mod. Jerwan,10,10 uncertain (mod. Jerwan)
uncertain,mod. Judi Dagh,7,7 uncertain (mod. Judi Dagh)
uncertain,mod. Kabret,1,1 uncertain (mod. Kabret)
uncertain,mod. Kam-Firouz,4,4 uncertain (mod. Kam-Firouz)
uncertain,mod. Kani Joni I,6,6 uncertain (mod. Kani Joni I)
uncertain,mod. Kani Joni II,1,1 uncertain (mod. Kani Joni II)
uncertain,mod. Kastri Cythera Greece,1,1 uncertain (mod. Kastri Cythera Greece)
uncertain,mod. Kermanshah,4,4 uncertain (mod. Kermanshah)
uncertain,mod. Khan Haswa,1,1 uncertain (mod. Khan Haswa)
uncertain,mod. Kibbutz Hama-apil,2,2 uncertain (mod. Kibbutz Hama-apil)
uncertain,mod. Kizkapanlı,1,1 uncertain (mod. Kizkapanlı)
uncertain,mod. Konar Sandal,4,4 uncertain (mod. Konar Sandal)
uncertain,mod. Kurkh,3,3 uncertain (mod. Kurkh)
uncertain,mod. Kuşaklı,43,43 uncertain (mod. Kuşaklı)
uncertain,mod. Lacarna,2,2 uncertain (mod. Lacarna)
uncertain,mod. Lahir,1,1 uncertain (mod. Lahir)
uncertain,mod. Lidar Höyük,1,1 uncertain (mod. Lidar Höyük)
uncertain,mod. Mah-i-dasht plain,4,4 uncertain (mod. Mah-i-dasht plain)
uncertain,mod. Mahmudiyah,1,1 uncertain (mod. Mahmudiyah)
uncertain,mod. Masat Höyük,116,116 uncertain (mod. Masat Höyük)
uncertain,mod. Mazyad,50,50 uncertain (mod. Mazyad)
uncertain,mod. Megiddo,2,2 uncertain (mod. Megiddo)
uncertain,mod. Merj Khamis,1,1 uncertain (mod. Merj Khamis)
uncertain,mod. Mila Mergi,2,2 uncertain (mod. Mila Mergi)
uncertain,mod. Mount Elvend,4,4 uncertain (mod. Mount Elvend)
uncertain,mod. Mugdan/Umm al-Jir,49,49 uncertain (mod. Mugdan/Umm al-Jir)
uncertain,mod. Māhān,1,1 uncertain (mod. Māhān)
uncertain,mod. Nahavand,2,2 uncertain (mod. Nahavand)
uncertain,mod. Nahr el-Kelb,4,4 uncertain (mod. Nahr el-Kelb)
uncertain,mod. Naqš-i-Rustam,11,11 uncertain (mod. Naqš-i-Rustam)
uncertain,mod. Nar-Madanu,1,1 uncertain (mod. Nar-Madanu)
uncertain,mod. Negub tunnel,2,2 uncertain (mod. Negub tunnel)
uncertain,mod. Nessana,1,1 uncertain (mod. Nessana)
uncertain,mod. Old Makhmur,1,1 uncertain (mod. Old Makhmur)
uncertain,mod. Ozbaki,1,1 uncertain (mod. Ozbaki)
uncertain,"mod. Padakka/Ha'it, Saudi Arabia",2,"2 uncertain (mod. Padakka/Ha'it, Saudi Arabia)"
uncertain,mod. Palmyra,11,11 uncertain (mod. Palmyra)
uncertain,mod. Pir Huseyin,1,1 uncertain (mod. Pir Huseyin)
uncertain,mod. Pāra,1,1 uncertain (mod. Pāra)
uncertain,mod. Qaṭibat,2,2 uncertain (mod. Qaṭibat)
uncertain,mod. Rabat Tepe,2,2 uncertain (mod. Rabat Tepe)
uncertain,mod. Ras Ibn Hani,93,93 uncertain (mod. Ras Ibn Hani)
