provenience,Len,FG_qid,ancientplace
uncertain (mod. Chogha Mish),Barah,Q389821,https://database.factgrid.de/entity/Q389821
uncertain (mod. Dawali),Pasargad,Q389688,https://database.factgrid.de/entity/Q389688
"uncertain (mod. Deh-e No, Iran)",Takht-i Jamshīd,Q389698,https://database.factgrid.de/entity/Q389698
uncertain (mod. Dharan),Pir Hüseyin,Q390067,https://database.factgrid.de/entity/Q390067
uncertain (mod. Diqdiqqah),Qal’at al Bahrain,Q390005,https://database.factgrid.de/entity/Q390005
uncertain (mod. Dohuk) ?,Kilizu,Q390003,https://database.factgrid.de/entity/Q390003
uncertain (mod. Dura-Europus),Rabat Tapah,Q389977,https://database.factgrid.de/entity/Q389977
uncertain (mod. el-Ghab),Rās Shamrah,Q389975,https://database.factgrid.de/entity/Q389975
uncertain (mod. El-Khargeh),Sabā‘a,Q389984,https://database.factgrid.de/entity/Q389984
uncertain (mod. Failaka),Samaria,Q389651,https://database.factgrid.de/entity/Q389651
"uncertain (mod. Faqous, Egypt)",Sāmmarā,Q91165,https://database.factgrid.de/entity/Q91165
uncertain (mod. Ghazir),Sāmmarā,Q91165,https://database.factgrid.de/entity/Q91165
uncertain (mod. Gherla Romania),Sar-i Pol-i Zohāb,Q389716,https://database.factgrid.de/entity/Q389716
uncertain (mod. Giricano),Al-Sila‘,Q389812,https://database.factgrid.de/entity/Q389812
uncertain (mod. Glai'a),Silūqīah,Q389986,https://database.factgrid.de/entity/Q389986
uncertain (mod. Godin Tepe),Zippori,Q389673,https://database.factgrid.de/entity/Q389673
uncertain (mod. Habuba Kabira),Shahdād,Q389721,https://database.factgrid.de/entity/Q389721
uncertain (mod. Hadidi),Shahr-i Sūkhta,Q389722,https://database.factgrid.de/entity/Q389722
uncertain (mod. Hamadan),Shīr al-Ṣanām,Q389989,https://database.factgrid.de/entity/Q389989
uncertain (mod. Hazor),Shūsh,Q389723,https://database.factgrid.de/entity/Q389723
uncertain (mod. Hillah),Ṣaiydā,Q91761,https://database.factgrid.de/entity/Q91761
uncertain (mod. Hillah),Ṣaiydā,Q91761,https://database.factgrid.de/entity/Q91761
uncertain (mod. Himrin) : uncertain (mod. Sulaima) : uncertain (mod. Tell Suleimah),Shīshīn,Q389990,https://database.factgrid.de/entity/Q389990
uncertain (mod. Hissar),Kubri,Q389621,https://database.factgrid.de/entity/Q389621
uncertain (mod. Ibn Hani),Sultantepe,Q390056,https://database.factgrid.de/entity/Q390056
uncertain (mod. Išān Hāfudh),Sur Jar'a,Q390087,https://database.factgrid.de/entity/Q390087
uncertain (mod. Ishan-Dhahak),Īshān Zurghul,Q389819,https://database.factgrid.de/entity/Q389819
uncertain (mod. Jebel Aruda),Īshān Zurghul,Q389819,https://database.factgrid.de/entity/Q389819
uncertain (mod. Jedide),Tell Al-Farha,Q389773,https://database.factgrid.de/entity/Q389773
uncertain (mod. Jemdet Nasr),Tell Sheikh Hamad,Q389863,https://database.factgrid.de/entity/Q389863
uncertain (mod. Jerwan),Tankīwar,Q389703,https://database.factgrid.de/entity/Q389703
uncertain (mod. Judi Dagh),Tapah Barmī,Q389834,https://database.factgrid.de/entity/Q389834
uncertain (mod. Kabret),Tas-Silġ,Q389649,https://database.factgrid.de/entity/Q389649
uncertain (mod. Kalah Shergat) : Assur (mod. Qalat Sherqat),Ṭaymā,Q389952,https://database.factgrid.de/entity/Q389952
uncertain (mod. Kalah Shergat) : Assur (mod. Qalat Sherqat),Antipatris,Q389638,https://database.factgrid.de/entity/Q389638
uncertain (mod. Kam-Firouz),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
"uncertain (mod. Kastri, Cythera, Greece)",Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Kermanshah) ?,Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Khan Haswa) ?,Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Kibbutz Hama-apil),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Kizkapanlı),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Konar Sandal),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Kurkh),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Kuşaklı),Tall ‘Abṭah,Q389918,https://database.factgrid.de/entity/Q389918
uncertain (mod. Lacarna),Tall Abū ‘Antīk,Q389844,https://database.factgrid.de/entity/Q389844
uncertain (mod. Masat Höyük),Mashkan-shapir,Q389841,https://database.factgrid.de/entity/Q389841
uncertain (mod. Mazyad),Tall Abū Ḥabbah,Q389840,https://database.factgrid.de/entity/Q389840
uncertain (mod. Megiddo),Tall Abū Qubur,Q389845,https://database.factgrid.de/entity/Q389845
uncertain (mod. Mila Mergi),Tall Abū Shījah,Q389842,https://database.factgrid.de/entity/Q389842
uncertain (mod. Mount Elvend),Alalakh,Q389868,https://database.factgrid.de/entity/Q389868
uncertain (mod. Mugdan) : uncertain (mod. Umm al-Jir),Tall Ajrab,Q389852,https://database.factgrid.de/entity/Q389852
uncertain (mod. Nahr el-Kelb),Tall Aḥmar,Q389846,https://database.factgrid.de/entity/Q389846
uncertain (mod. Naqš-i-Rustam),Tall ‘Ajājah,Q389920,https://database.factgrid.de/entity/Q389920
uncertain (mod. Negub tunnel),Qatara,Q389859,https://database.factgrid.de/entity/Q389859
uncertain (mod. Nihavand ?),Tall al-Dhiba‘i,Q389775,https://database.factgrid.de/entity/Q389775
uncertain (mod. Old Makhmur),Tulūl al-Baqarāt,Q389949,https://database.factgrid.de/entity/Q389949
uncertain (mod. Ortaköy),Tall al-Hawa,Q389881,https://database.factgrid.de/entity/Q389881
uncertain (mod. Ozbaki),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
"uncertain (mod. Padakka/Ha'it, Saudi Arabia) : uncertain (mod. al Ḥā'iṭ Saudi Arabia)",Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
"uncertain (mod. Padakka/Ha'it, Saudi Arabia) : uncertain (mod. al Ḥā'iṭ Saudi Arabia)",Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Palmyra),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Pāra),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Pir Huseyin),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Rabat Tepe),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Saba'a),Tall al-Laḥam,Q389873,https://database.factgrid.de/entity/Q389873
uncertain (mod. Samarra) ?,Der,Q389922,https://database.factgrid.de/entity/Q389922
uncertain (mod. Samarra) ?,Larsa,Q389860,https://database.factgrid.de/entity/Q389860
uncertain (mod. Sar-i-pul-i-Zohāb),Eshnunna,Q389831,https://database.factgrid.de/entity/Q389831
uncertain (mod. Sela),Tall Baradān,Q389887,https://database.factgrid.de/entity/Q389887
uncertain (mod. Seleucia) : Seleucia (mod. Tell 'Umar),Girumu,Q389777,https://database.factgrid.de/entity/Q389777
uncertain (mod. Sepphoris),Tell Barri,Q389889,https://database.factgrid.de/entity/Q389889
uncertain (mod. Shadad),Tall al-Bīʻa,Q389854,https://database.factgrid.de/entity/Q389854
uncertain (mod. Shahr-i Sokhta),Tall Billah,Q389804,https://database.factgrid.de/entity/Q389804
uncertain (mod. Shir as-Sanam),Tall Billah,Q389804,https://database.factgrid.de/entity/Q389804
uncertain (mod. Sidon) ?,Tell Brak,Q389886,https://database.factgrid.de/entity/Q389886
uncertain (mod. Sidon) ?,Tell Chuera,Q389862,https://database.factgrid.de/entity/Q389862
uncertain (mod. Šišin),Tall al-Daiyr,Q389858,https://database.factgrid.de/entity/Q389858
uncertain (mod. Suez),Tell el-Hesi,Q389645,https://database.factgrid.de/entity/Q389645
uncertain (mod. Sur Jar'a),Tall al-Maskhūṭa,Q389613,https://database.factgrid.de/entity/Q389613
uncertain (mod. Tall al-Farḥa),Tall al-Naṣbah,Q389676,https://database.factgrid.de/entity/Q389676
uncertain (mod. Tang-i Var),Tall al-Fakhīriyah,Q389870,https://database.factgrid.de/entity/Q389870
uncertain (mod. Tappeh Bormi),Tall Fray,Q390053,https://database.factgrid.de/entity/Q390053
"uncertain (mod. Tas-Silg, Malta)",Tall Ghaḍaiyrīfah,Q389926,https://database.factgrid.de/entity/Q389926
uncertain (mod. Tel Laham),Tell Hadad,Q389894,https://database.factgrid.de/entity/Q389894
uncertain (mod. Tel Laham),Tall al-Ḥammām,Q389856,https://database.factgrid.de/entity/Q389856
uncertain (mod. Tel Laham),Tall Ḥammām al-Turkmān,Q389899,https://database.factgrid.de/entity/Q389899
uncertain (mod. Tel Laham),Mari,Q389896,https://database.factgrid.de/entity/Q389896
uncertain (mod. Tel Laham),Tall Ḥarmal,Q389895,https://database.factgrid.de/entity/Q389895
uncertain (mod. Tel Laham),Tall Ḥarmal,Q389895,https://database.factgrid.de/entity/Q389895
uncertain (mod. Tel Laham),Tall Ḥuwaysh,Q389901,https://database.factgrid.de/entity/Q389901
uncertain (mod. Tel Laham),Kutha,Q389848,https://database.factgrid.de/entity/Q389848
uncertain (mod. Tell Abta),Tall Jidar,Q389892,https://database.factgrid.de/entity/Q389892
uncertain (mod. Tell Abu Qubur),Tall Jūka,Q389833,https://database.factgrid.de/entity/Q389833
uncertain (mod. Tell Agrab),Malyan,Q389701,https://database.factgrid.de/entity/Q389701
uncertain (mod. Tell al-Diba'i),Ebla,Q389938,https://database.factgrid.de/entity/Q389938
uncertain (mod. Tell al-Diba'i) : uncertain (mod. Tell Dhiba'i),Bad-tibira,Q389875,https://database.factgrid.de/entity/Q389875
uncertain (mod. Tell al-Hawa),Emar,Q389940,https://database.factgrid.de/entity/Q389940
uncertain (mod. Tell al-Lahm) : uncertain (mod. Tell Lahm),Tall Mūzān,Q389942,https://database.factgrid.de/entity/Q389942
uncertain (mod. Tell al-Lahm) : uncertain (mod. Tell Lahm),Tall Muḥamad,Q389935,https://database.factgrid.de/entity/Q389935
uncertain (mod. Tell al-Lahm) : uncertain (mod. Tell Lahm),Mumbaqat,Q389941,https://database.factgrid.de/entity/Q389941
uncertain (mod. Tell al-Lahm) : uncertain (mod. Tell Lahm),Tall al-Muqayyar,Q389877,https://database.factgrid.de/entity/Q389877
uncertain (mod. Tell al-Lahm) : uncertain (mod. Tell Lahm),Tall Sabā,Q390159,https://database.factgrid.de/entity/Q390159
uncertain (mod. Tell al-Lahm) : uncertain (mod. Tell Lahm),Tall Shimshārah,Q389912,https://database.factgrid.de/entity/Q389912
uncertain (mod. Tell al-Lahm) : uncertain (mod. Tell Lahm),Tall Sharīf Khān,Q389911,https://database.factgrid.de/entity/Q389911
uncertain (mod. Tell al-Lahm) : uncertain (mod. Tell Lahm),Burmarina,Q389864,https://database.factgrid.de/entity/Q389864
uncertain (mod. Tell Baradan),Kutalla,Q389905,https://database.factgrid.de/entity/Q389905
uncertain (mod. Tell el-Hesi),Kutalla,Q389905,https://database.factgrid.de/entity/Q389905
uncertain (mod. Tell el-Maskuta),Tall Zubīdī,Q389904,https://database.factgrid.de/entity/Q389904
uncertain (mod. Tell en-Nasbeh),Ishān al-Sama‘a,Q389802,https://database.factgrid.de/entity/Q389802
uncertain (mod. Tell Fakhariyah),Tall Suwaiyhat,Q389768,https://database.factgrid.de/entity/Q389768
uncertain (mod. Tell Fray),Tall Ṭa‘iynāt,Q389916,https://database.factgrid.de/entity/Q389916
uncertain (mod. Tell Ghdairife),Ta‘nak,Q389678,https://database.factgrid.de/entity/Q389678
uncertain (mod. Tell Hammam et-Turkman),Tall Ṭābān,Q389915,https://database.factgrid.de/entity/Q389915
uncertain (mod. Tell Hammam),Tall al-ʻUbaīd,Q389866,https://database.factgrid.de/entity/Q389866
uncertain (mod. Tell Huweish),Kish,Q390014,https://database.factgrid.de/entity/Q390014
uncertain (mod. Tell Jidr),Kish,Q390014,https://database.factgrid.de/entity/Q390014
uncertain (mod. Tell Muhammad),Kish,Q390014,https://database.factgrid.de/entity/Q390014
uncertain (mod. Tell Sabaa),Kish,Q390014,https://database.factgrid.de/entity/Q390014
uncertain (mod. Tell Subeidi),Kish,Q390014,https://database.factgrid.de/entity/Q390014
uncertain (mod. Tell Sukas),Tall ʻUqair,Q389924,https://database.factgrid.de/entity/Q389924
uncertain (mod. Tell Sweyhat),Larak,Q389944,https://database.factgrid.de/entity/Q389944
