FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en,source_file
Q2099973,https://database.factgrid.de/entity/Q2099973,Mah-i-dasht plain,,18,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099976,https://database.factgrid.de/entity/Q2099976,Naḫalla,,201,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099979,https://database.factgrid.de/entity/Q2099979,Nessana,,238,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2100032,https://database.factgrid.de/entity/Q2100032,Tulūl Yassir,,172,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2100033,https://database.factgrid.de/entity/Q2100033,Udannu,,152,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2100034,https://database.factgrid.de/entity/Q2100034,Uhudu,,145,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389626,https://database.factgrid.de/entity/Q389626,"Kastri, Cythera",,415,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389630,https://database.factgrid.de/entity/Q389630,Asdūdu (mod. Ashdod),,364,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389670,https://database.factgrid.de/entity/Q389670,Habuba Kabira,,44,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389676,https://database.factgrid.de/entity/Q389676,Tell en-Nasbeh,,312,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389677,https://database.factgrid.de/entity/Q389677,Hazor,,46,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389689,https://database.factgrid.de/entity/Q389689,Hissar,,4,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389695,https://database.factgrid.de/entity/Q389695,Tepe Gotvand,,140,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389700,https://database.factgrid.de/entity/Q389700,Ghazir,,284,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389701,https://database.factgrid.de/entity/Q389701,Anšan (mod. Tell Malyan),,286,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389717,https://database.factgrid.de/entity/Q389717,Surkh Dum (mod. Luristan),,400,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389722,https://database.factgrid.de/entity/Q389722,Shahr-i Sokhta,,309,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389727,https://database.factgrid.de/entity/Q389727,Qasr-i Abu Nasr (mod. uncertain),,11,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389731,https://database.factgrid.de/entity/Q389731,Kam-Firouz,,414,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389734,https://database.factgrid.de/entity/Q389734,Konar Sandal,,416,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389745,https://database.factgrid.de/entity/Q389745,Naqish-e Rostam,,422,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389777,https://database.factgrid.de/entity/Q389777,Kish (mod. Tell Barguthiat),,361,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389787,https://database.factgrid.de/entity/Q389787,Eridu (mod. Abu Shahrain),,59,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389791,https://database.factgrid.de/entity/Q389791,Mugdan,,3,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389795,https://database.factgrid.de/entity/Q389795,Upi (mod. Opis),,55,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389796,https://database.factgrid.de/entity/Q389796,Kisurra (mod. Abu Hatab),,314,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389804,https://database.factgrid.de/entity/Q389804,Šibaniba (mod. Tell Billa),,176,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389806,https://database.factgrid.de/entity/Q389806,al Ḥā'iṭ,,443,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389819,https://database.factgrid.de/entity/Q389819,Sirara (mod. Tell Zurghul),,40,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389820,https://database.factgrid.de/entity/Q389820,Babylon,,299,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389820,https://database.factgrid.de/entity/Q389820,Babylon,,200,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389821,https://database.factgrid.de/entity/Q389821,Pāra,,27,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389822,https://database.factgrid.de/entity/Q389822,Bassetki,,24,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389831,https://database.factgrid.de/entity/Q389831,Ešnunna (mod. Tell Asmar),,91,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389835,https://database.factgrid.de/entity/Q389835,Tepe Sialk,,74,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389837,https://database.factgrid.de/entity/Q389837,Palmyra,,155,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389843,https://database.factgrid.de/entity/Q389843,Tell Abu Salabikh,,73,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389844,https://database.factgrid.de/entity/Q389844,Tall Abū ‘Antīk,,298,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389845,https://database.factgrid.de/entity/Q389845,Tell Abu Qubur,,233,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389846,https://database.factgrid.de/entity/Q389846,Til Barsip (mod. Tell Ahmar),,304,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389849,https://database.factgrid.de/entity/Q389849,Old Makhmur,,264,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389850,https://database.factgrid.de/entity/Q389850,Zabala,,98,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389850,https://database.factgrid.de/entity/Q389850,Zabala,,99,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389870,https://database.factgrid.de/entity/Q389870,Tell Fakhariyah,,32,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389873,https://database.factgrid.de/entity/Q389873,Kuara,,33,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389873,https://database.factgrid.de/entity/Q389873,Kuara,,191,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389880,https://database.factgrid.de/entity/Q389880,Lagash (mod. El-Hiba),,39,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389888,https://database.factgrid.de/entity/Q389888,Garšana (mod. uncertain),,38,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389895,https://database.factgrid.de/entity/Q389895,Shaduppum,,221,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389899,https://database.factgrid.de/entity/Q389899,Tell Hammam et-Turkman,,36,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389904,https://database.factgrid.de/entity/Q389904,Tell Subeidi,,433,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389911,https://database.factgrid.de/entity/Q389911,Tarbisu (mod. Tell Sherif Khan),,84,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389912,https://database.factgrid.de/entity/Q389912,Susarra (mod. Tell Shemshara),,401,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389917,https://database.factgrid.de/entity/Q389917,Amuda,,179,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389924,https://database.factgrid.de/entity/Q389924,Tell Uqair,,72,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389935,https://database.factgrid.de/entity/Q389935,Tell Muhammad,,7,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389945,https://database.factgrid.de/entity/Q389945,Tell Yarah,,219,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389950,https://database.factgrid.de/entity/Q389950,Tulul al-Lak,,107,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389953,https://database.factgrid.de/entity/Q389953,Jebel Aruda,,42,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389955,https://database.factgrid.de/entity/Q389955,Gubla (mod. Byblos),,47,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389956,https://database.factgrid.de/entity/Q389956,Jedide,,93,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389961,https://database.factgrid.de/entity/Q389961,Jīroft,,169,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389977,https://database.factgrid.de/entity/Q389977,Rabat Tepe,,297,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389978,https://database.factgrid.de/entity/Q389978,el-Ghab,,60,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389979,https://database.factgrid.de/entity/Q389979,Zalil Ab,,58,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389988,https://database.factgrid.de/entity/Q389988,Kian (Tell Shmid),,360,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389998,https://database.factgrid.de/entity/Q389998,"Dilmun (mod. A'ali, Bahrain)",,376,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390014,https://database.factgrid.de/entity/Q390014,Kish (mod. Tell el-Bender),,71,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390014,https://database.factgrid.de/entity/Q390014,Kish (mod. Tell el-Bender),,85,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390017,https://database.factgrid.de/entity/Q390017,Nippur (mod. Nuffar),,22,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390019,https://database.factgrid.de/entity/Q390019,Negub tunnel,,273,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390037,https://database.factgrid.de/entity/Q390037,Tappika,,5,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390040,https://database.factgrid.de/entity/Q390040,Samal (mod. Zinčirli),,14,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390045,https://database.factgrid.de/entity/Q390045,Marqasu (mod. Kahramanmaraş),,394,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390052,https://database.factgrid.de/entity/Q390052,Melidu (mod. Arslantepe),,395,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390057,https://database.factgrid.de/entity/Q390057,Aşağı Yarımca,,310,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390067,https://database.factgrid.de/entity/Q390067,Pir Huseyin,,246,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390072,https://database.factgrid.de/entity/Q390072,Giricano,,150,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390084,https://database.factgrid.de/entity/Q390084,Kebeli,,66,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390086,https://database.factgrid.de/entity/Q390086,Yoncali,,78,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390107,https://database.factgrid.de/entity/Q390107,Mila Mergi,,62,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390161,https://database.factgrid.de/entity/Q390161,Irisagrig,,48,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
