FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en
Q389960,https://database.factgrid.de/entity/Q389960,Jemdet Nasr,,159,Point(44.7796 32.7181),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099969,https://database.factgrid.de/entity/Q2099969,Lagaba,,16,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389903,https://database.factgrid.de/entity/Q389903,Puzriš-Dagan (mod. Drehem),Puzriš-Dagan | Drehem,160,Point(45.2922 32.0591),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389896,https://database.factgrid.de/entity/Q389896,Mari (mod. Tell Hariri),"Mari, Syria | Mari | Tell Hariri",161,Point(40.8887 34.5504) | Point(40.89 34.549444444444),Q8 | Q389596 | Q1785688 | Q1059746,ancient location and modern archaeological excavation site
Q389868,https://database.factgrid.de/entity/Q389868,Alalakh,Alalakh | Alalah | Tel Açana,162,Point(36.3842 36.2377),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389972,https://database.factgrid.de/entity/Q389972,Dohuk,,164,Point(42.9205 36.8623),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390010,https://database.factgrid.de/entity/Q390010,Arrapha (mod. Kirkuk),Arrapha,165,Point(44.3957 35.4701),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389860,https://database.factgrid.de/entity/Q389860,Larsa (mod. Tell as-Senkereh),Larsa | Tell as-Senkereh,168,Point(45.8549 31.2832) | Point(45.853611111111 31.285833333333) | Point(45.8498 31.2833),Q8 | Q389596 | Q1785688 | Q1059746,ancient location and modern archaeological excavation site
Q389961,https://database.factgrid.de/entity/Q389961,Jīroft,,169,Point(57.7792 28.4634),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099911,https://database.factgrid.de/entity/Q2099911,Ba-milkišu,,17,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389658,https://database.factgrid.de/entity/Q389658,Ḫattusa (mod. Boğazkale),Hattusa | Ḫattusa | Boğazkale,171,Point(34.6164 40.0144),Q8 | Q389596 | Q1785688,ancient location and modern archaeological excavation site
Q2100032,https://database.factgrid.de/entity/Q2100032,Tulūl Yassir,Malgium | mod. Tulūl Yassir,172,Point(45.0983 32.5612),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389770,https://database.factgrid.de/entity/Q389770,Glai'a,,173,Point(42.1921 34.2909),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389987,https://database.factgrid.de/entity/Q389987,Sulaiymah,Sulaima | Tell Suleimah | Himrin,174,Point(45.1034 34.1677),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099954,https://database.factgrid.de/entity/Q2099954,Hurruba,,175,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389922,https://database.factgrid.de/entity/Q389922,Der (mod. Tell Aqar),Der (Sumer) | Der,178,Point(45.9316 33.1238),Q8 | Q389596,ancient location and modern archaeological excavation site
