,P771,Len,Aen,FG_qid,P694,P48
FG_Qid,Wikidata_qid,transciption_name,cdli_legacy_'Len',ancientplace,id_text2,coord
Q389910,Q4120161,Chagar Bazar,uncertain (mod. Chagar Bazar),https://database.factgrid.de/entity/Q389910,136,Point(40.8978 36.8755)
Q389921,Q4120177,Tall ‘Arbīd,,https://database.factgrid.de/entity/Q389921,,Point(41.0207 36.8728)
Q390062,Q447212,Altıntepe,,https://database.factgrid.de/entity/Q390062,,Point(39.6467 39.6964)
Q85914,Q4495225,Hama,Hamath (mod. Hama),https://database.factgrid.de/entity/Q85914,384,Point(36.7479 35.131)
Q85914,Q4495225,Hama,Hamath (mod. Hama),https://database.factgrid.de/entity/Q85914,384,Point(36.75 35.133333333)
Q390034,Q451078,Alişar Hüyük,uncertain (mod. Alisar),https://database.factgrid.de/entity/Q390034,227,Point(35.2614 39.6059)
Q389709,Q4523,Chogha Zanbil,Dur-Untaš (mod. Chogha Zanbil),https://database.factgrid.de/entity/Q389709,109,Point(48.5229 32.0078)
Q389973,Q464266,Dura-Europos,uncertain (mod. Dura-Europus),https://database.factgrid.de/entity/Q389973,220,Point(40.7298 34.7479)
Q389876,Q4702907,Tall al-Mishrifah,,https://database.factgrid.de/entity/Q389876,,Point(36.8663 34.8346)
Q390073,Q4819172,Ziyaret Tepe,Tushhan (mod. Ziyaret Tepe),https://database.factgrid.de/entity/Q390073,244,Point(40.7929 37.7936)
Q389863,Q487614,Tell Sheikh Hamad,Dur-Katlimmu (mod. Tall Shekh Hamad),https://database.factgrid.de/entity/Q389863,135,Point(40.7436 35.6463)
Q389800,Q501259,Isin,Isin (mod. Bahriyat),https://database.factgrid.de/entity/Q389800,303,Point(45.2688 31.8852)
Q390104,Q509324,Patnos,,https://database.factgrid.de/entity/Q390104,,Point(42.864 39.2332)
Q389611,Q522862,Karnak,,https://database.factgrid.de/entity/Q389611,,Point(32.6586 25.7168)
Q389767,Q53483,Odzaberd,,https://database.factgrid.de/entity/Q389767,,Point(45.495 40.1537)
Q390036,Q538605,Kültepe,Kanesh (mod. Kültepe),https://database.factgrid.de/entity/Q390036,291,Point(35.6365 38.8517)
Q389647,Q5431857,Falerii,,https://database.factgrid.de/entity/Q389647,,Point(12.4217 42.2988)
Q390114,Q54571,Ayanıs,,https://database.factgrid.de/entity/Q390114,,Point(43.2114 38.7083)
Q389659,Q558861,Alaça Höyuk,,https://database.factgrid.de/entity/Q389659,,Point(34.6951 40.2344)
Q389662,Q5626760,Tarsus,,https://database.factgrid.de/entity/Q389662,,Point(34.8956 36.9123)
Q390025,Q5680,Nīnūa,Nineveh (mod. Kuyunjik) : Nineveh (mod. Nebi Yunus),https://database.factgrid.de/entity/Q390025,279,Point(43.1621 36.3582)
Q390025,Q5680,Nīnūa,Nineveh (mod. Kuyunjik) : Nineveh (mod. Nebi Yunus),https://database.factgrid.de/entity/Q390025,86,Point(43.1621 36.3582)
