Working,project,oracc_link,projectname,Period,count,num,ipynb1,ipynb2,2022_json,note,words_df,df_cat,Translation,FG_upload
TRUE,RINAP 3: Sennacherib,http://oracc.museum.upenn.edu/rinap/rinap3,rinap/rinap3,NA,261,99.00,,,https://drive.google.com/file/d/1zZN5HZJ4d7pVl9FWYI9g6uP_h9WEhkL9/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,RINAP 4: Esarhaddon,http://oracc.museum.upenn.edu/rinap/rinap4,rinap/rinap4,NA,183,100.00,,,https://drive.google.com/file/d/1zaTRhfYqCVWp62QcvvKeOd9y1WX1sh5M/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,RINAP 5: Ashurbanipal and Successors,http://oracc.museum.upenn.edu/rinap/rinap5,rinap/rinap5,NA,346,101.00,,,https://drive.google.com/file/d/1zdrtHM94LGTpnSLZv4feu91hoZFz_SUB/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,RINAP Scores,http://oracc.museum.upenn.edu/rinap/scores,rinap/scores,NA,130,102.00,,,https://drive.google.com/file/d/1zfSvd0WyemVZd_LjhKx_rLwo9cYiSlE2/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,RINAP Sources,http://oracc.museum.upenn.edu/rinap/sources,rinap/sources,NA,2250,103.00,,,https://drive.google.com/file/d/1zvW3WVL954XO53HPQ0X5WXiNL8M76IgJ/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,RLAsb: Reading the Library of Ashurbanipal project,,asbp/rlasb,NA,26,12.00,,,https://drive.google.com/file/d/1uIaPebMWwcM6c6O5HbET8kFkABZCPqZg/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,"SAAo/SAA01: The Correspondence of Sargon II, Part I: Letters from Assyria and the West",http://oracc.museum.upenn.edu/saao/saa01/,saao/saa01,NA,256,105.00,,,https://drive.google.com/file/d/1-Ed0vZGtfq4VDEx8Ho0i1fpn8d8b2shd/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA02: Neo-Assyrian Treaties and Loyalty Oaths,,saao/saa02,NA,15,106.00,,,https://drive.google.com/file/d/1-KMyVv6Nv_JRILVAKVQnYnL7heAPU5q1/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA03: Court Poetry and Literary Miscellanea,,saao/saa03,NA,52,107.00,,,https://drive.google.com/file/d/1-NFDjLwMUmESEE8QQSy0DZBwwy-0A606/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,SAAo/SAA04: Queries to the Sungod: Divination and Politics in Sargonid Assyria,,saao/saa04,NA,353,108.00,,,https://drive.google.com/file/d/1-ZIxd2e4VPwPt6uI7dXT7aU4oVc_XYTf/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,"SAAo/SAA05: The Correspondence of Sargon II, Part II: Letters from the Northern and Northeastern Provinces",,saao/saa05,NA,300,109.00,,,https://drive.google.com/file/d/1-QjfoqtRQodTaJ1U8FBCOtQtcNz5GBgW/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,"SAAo/SAA06: Legal Transactions of the Royal Court of Nineveh, Part I: Tiglath-Pileser III through Esarhaddon",,saao/saa06,NA,350,110.00,,,https://drive.google.com/file/d/1-_JDmCmKyzzNbEbVmAMuhkocp5F0vMI7/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,"SAAo/SAA07: Imperial Administrative Records, Part I: Palace and Temple Administration",,saao/saa07,NA,219,111.00,,,https://drive.google.com/file/d/1-gOTikyJ-i4RNYk2fdhwbpm9IL9TiYk3/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,SAAo/SAA08: Astrological Reports to Assyrian Kings,,saao/saa08,NA,568,112.00,,,https://drive.google.com/file/d/1-s8D5dMmKiN-flDz8sbZk6Kg159jM0y3/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA09: Assyrian Prophecies,,saao/saa09,NA,11,113.00,,,https://drive.google.com/file/d/1-p7dSQIMDYDQIOzyJA4Z7xMD3KPfs5Ha/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA10: Letters from Assyrian and Babylonian Scholars,,saao/saa10,NA,389,114.00,https://colab.research.google.com/drive/1PqGOTtcZ-BI_gd0JMjvvfCoDhrRkWPpD?usp=share_link,,https://drive.google.com/file/d/1-tnfXGOJAbZeFUS1jLSgL_w1AeWDMgbQ/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,"SAAo/SAA11: Imperial Administrative Records, Part II: Provincial and Militar Administration",,saao/saa11,NA,234,115.00,,,https://drive.google.com/file/d/1-y5kYqOlVSliFx1bFFE8P7-Xn6RuZLUu/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,"SAAo/SAA12: Grants, Decres and Gifts of the Neo-Assyrian Period",,saao/saa12,NA,98,116.00,,,https://drive.google.com/file/d/1-wtQN5KjQoKPnrKkFC3ObSTg6ED6u0wn/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA13: Letters from Assyrian and Babylonian Priests to Kings Esarhaddon and Assurbanipal,,saao/saa13,NA,210,117.00,,,https://drive.google.com/file/d/100zrzDXS91zUxKlF-_OmWa77LfikQjIG/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,"SAAo/SAA14: Legal Transactions of the Royal Court of Nineveh, Part II: Assurbanipal Through Sin-šarru-iškun",,saao/saa14,NA,479,118.00,,,https://drive.google.com/file/d/1053k7NnmjTSYJonXPghYTXKAohmCjP-Y/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,"SAAo/SAA15: The Correspondence of Sargon II, Part III: Letters from Babylonia and the Eastern Provinces",,saao/saa15,NA,390,119.00,,,https://drive.google.com/file/d/107cnDtGdRUBm2TH3CdvJgXottMaVx8_N/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA16: The Political Correspondence of Esarhaddon,,saao/saa16,NA,246,120.00,,,https://drive.google.com/file/d/10Bv0ghQP3tQSbyBd2jOWOzeMSslYwlMc/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA17: The Neo-Babylonian Correspondence of Sargon and Sennacherib,,saao/saa17,NA,207,121.00,,,https://drive.google.com/file/d/1086Ymgn37h2I3vNl4XV5bZzEuZPr1BJb/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA18: The Babylonian Correspondence of Esarhaddon and Letters to Assurbanipal and Sin-šarru-iškun from Northern and Central Babylonia,,saao/saa18,NA,205,122.00,,,https://drive.google.com/file/d/10G_tTVZOwSL36RTRM-2tkH36zkSzk4jS/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA19: The Correspondence of Tiglath-Pileser III and Sargon II from Calah/Nimrud,,saao/saa19,NA,229,123.00,,,https://drive.google.com/file/d/10TsqfO9bCAkcGRsIYe_xD2klNY-MX5qs/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAA20: Assyrian Royal Rituals and Cultic Texts,,saao/saa20,NA,55,124.00,,,https://drive.google.com/file/d/10ZMMlC-zkW-cWll6D_J8MhUd8YVXbfIc/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,"SAAo/SAA21: The Correspondence of Assurbanipal, Part I: Letters from Assyria, Babylonia, and Vassal States",,saao/saa21,NA,161,125.00,,,https://drive.google.com/file/d/10VHotu9956mX4amq-pXJols9yeAyNdBV/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,SAAo/SAAS2: SAAo/Assyrian Eponym List,,saao/saas2,NA,23,126.00,,,https://drive.google.com/file/d/10UvZzkJ9eZeizYmFw0b07RU7au_rcqCG/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Sam’al: Neo-Assyrian Archival Texts from Sam’al,,atae/samal,NA,2,25.00,,,https://drive.google.com/file/d/1vGrwpt8j6QCg_DJCMUxk0TntexBlaDnt/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
