audit_status,cdli_id,factgrid_qid,live_cdli_id,live_label_en,live_description_en,label,artifact_type,period_id,period,period_time_range,statement_status,statement_value,statement_value_label,live_period_property,live_period_qid,live_period_label,provenience,primary_collection
no_expected_no_live,559847,Q2170367,P559847,Cuneiform Tablet BM 029175,"CDLI artifact: tablet; from Borsippa (mod. Birs Nimrud); held by British Museum, London, UK; CDLI P559847",BM 029175,tablet,,,,,,,,,,Borsippa (mod. Birs Nimrud),"British Museum, London, UK"
no_expected_no_live,559851,Q2165409,P559851,Cuneiform Tablet BM 029230,"CDLI artifact: tablet; from Borsippa (mod. Birs Nimrud); held by British Museum, London, UK; CDLI P559851",BM 029230,tablet,,,,,,,,,,Borsippa (mod. Birs Nimrud),"British Museum, London, UK"
no_expected_no_live,559914,Q2166242,P559914,Cuneiform Tablet BM 029794,"CDLI artifact: tablet; from Borsippa (mod. Birs Nimrud); held by British Museum, London, UK; CDLI P559914",BM 029794,tablet,,,,,,,,,,Borsippa (mod. Birs Nimrud),"British Museum, London, UK"
no_expected_no_live,561584,Q2165840,P561584,Cuneiform Tablet BM 031275,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561584",BM 031275,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561592,Q2169977,P561592,Cuneiform Tablet BM 031291,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561592",BM 031291,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561615,Q2047308,P561615,Cuneiform Tablet BM 031410,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561615",BM 031410,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561642,Q2166718,P561642,Cuneiform Tablet BM 031537,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561642",BM 031537,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561750,Q2057720,P561750,Cuneiform Tablet BM 031740,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561750",BM 031740,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561793,Q2164671,P561793,Cuneiform Tablet BM 031812,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561793",BM 031812,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561838,Q2166459,P561838,Cuneiform Tablet BM 031934,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561838",BM 031934,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561843,Q2163441,P561843,Cuneiform Tablet BM 031944,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561843",BM 031944,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561880,Q2168106,P561880,Cuneiform Tablet BM 032020,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561880",BM 032020,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561896,Q2150527,P561896,Cuneiform Tablet BM 032050,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561896",BM 032050,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,561992,Q2166215,P561992,Cuneiform Tablet BM 032367+,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P561992",BM 032367+,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,562039,Q2019649,P562039,"Cuneiform Tablet MSL 11, 067 E","CDLI artifact: tablet; held by British Museum, London, UK; CDLI P562039","MSL 11, 067 E",tablet,,,,,,,,,,,"British Museum, London, UK"
