audit_status,cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,expected_period_qid,expected_period_label,live_period_property,live_period_qid,live_period_label,live_cdli_id
no_expected_no_live,409642,Q2166784,,Cuneiform Artifact CUNES 48-09-267,"CDLI artifact: tag; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409642",,,,,,P409642
no_expected_no_live,409707,Q2167137,,Cuneiform Tablet CUNES 48-09-332,"CDLI artifact: tablet; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409707",,,,,,P409707
no_expected_no_live,409750,Q2144877,,Cuneiform Tablet CUNES 48-10-046,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409750",,,,,,P409750
no_expected_no_live,410033,Q2167011,,Cuneiform Tablet CUNES 48-12-115,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P410033",,,,,,P410033
no_expected_no_live,410048,Q2165209,,Cuneiform Tablet CUNES 48-12-130,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P410048",,,,,,P410048
no_expected_no_live,410072,Q2169299,,Cuneiform Tablet CUNES 48-12-154,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P410072",,,,,,P410072
no_expected_no_live,411049,Q2167713,,Cuneiform Tablet CUNES 50-05-097,"CDLI artifact: tablet; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P411049",,,,,,P411049
no_expected_no_live,411065,Q2163971,,Cuneiform Tablet CUNES 50-05-113,"CDLI artifact: tablet; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P411065",,,,,,P411065
no_expected_no_live,411966,Q2163674,,Cuneiform Tablet CUNES 55-01-043,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P411966",,,,,,P411966
no_expected_no_live,412219,Q2163535,,"Cuneiform Tablet CTMMA 2, 046","CDLI artifact: tablet; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P412219",,,,,,P412219
no_expected_no_live,412223,Q2149395,,"Cuneiform Tablet CTMMA 2, 050","CDLI artifact: tablet; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P412223",,,,,,P412223
no_expected_no_live,412235,Q2168157,,"Cuneiform Tablet CTMMA 2, 062","CDLI artifact: tablet; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P412235",,,,,,P412235
no_expected_no_live,412262,Q2165282,,"Cuneiform Tablet CTMMA 2, 091","CDLI artifact: tablet; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P412262",,,,,,P412262
no_expected_no_live,412274,Q2170503,,"Cuneiform Tablet CTMMA 2, 103","CDLI artifact: tablet; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P412274",,,,,,P412274
no_expected_no_live,414461,Q2168968,,"Cuneiform Tablet YOS 15, 006","CDLI artifact: tablet; held by Garrett-Evangelical Theological Seminary, Evanston, Illinois, USA; CDLI P414461",,,,,,P414461
