repair_status,cdli_id,factgrid_qid,artifact_label,live_period_property,live_period_qid,live_period_label,correct_period_qid,expected_period_label,repair_note,removed_claim_ids,new_claim_id,write_status,write_error
ready,550631,Q2168302,"Cuneiform Tablet OLA 233, no. 071",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2168302$9BF2EAAB-CA78-48F5-96F2-259FE9B66367,Q2168302$95AD4E02-49A3-45A0-8AF2-498FB2F061A1,written,
ready,550666,Q2166329,"Cuneiform Tablet OLA 233, no. 106",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2166329$E029B472-05A8-4E81-BF1B-ED280995847B,Q2166329$1CB65D71-4556-4C93-8E7F-8E2E00CEEC6D,written,
ready,550689,Q2165312,"Cuneiform Tablet OLA 233, no. 130",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165312$9A4C5F24-2C76-447A-8DDD-00934A3B780E,Q2165312$9050E645-58F9-410B-805A-EECB1421B122,written,
ready,550723,Q2165501,"Cuneiform Tablet OLA 233, no. 165",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165501$38AE1934-2C9F-470C-A0AC-25484A80DEAB,Q2165501$A66CD0BA-B762-40CB-8FC4-7D3726DDAAA6,written,
ready,550735,Q2170286,"Cuneiform Tablet OLA 233, no. 178",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2170286$B82C1321-6793-4BBC-9AF3-6F1468E55EFF,Q2170286$34842D83-78C7-4EBE-8056-81E2EC7B6B7D,written,
ready,550758,Q2163763,Cuneiform Tablet Nbk. 010,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2163763$2965ACE7-A4F9-48CD-A791-98C11C38BCD4,Q2163763$D7E3DCED-C0E2-4E92-A4EC-9496103408A8,written,
ready,550762,Q2153657,Cuneiform Tablet Nbk. 015,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2153657$9F3A7B82-E9D6-400D-88BB-794986AD3DB7,Q2153657$D0E61F8D-F511-49B8-A252-C207AD8E4064,written,
ready,551260,Q2164438,"Cuneiform Tablet TMH 02-3, 099",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164438$9DF75FE1-128F-449D-99C6-A326A827B674,Q2164438$D8429CA1-17C8-4F1A-A504-6E48104C7DA5,written,
ready,551309,Q2047895,"Cuneiform Tablet TMH 02-3, 148",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2047895$DB3D49E9-347C-400A-8CE8-7BDCBCFAFAA6,Q2047895$CB9669DB-ABC8-4D88-BE01-144EE5AA0C87,written,
ready,551325,Q2164664,"Cuneiform Tablet TMH 02-3, 164",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164664$B4456C87-689D-4D1A-B85C-376174A998DB,Q2164664$7E3B334A-677A-475B-A94B-C4CEF41B6BDE,written,
ready,551372,Q2162827,"Cuneiform Tablet TMH 02-3, 211",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2162827$061C51A7-AB59-4E28-9BD4-689D5B9790A8,Q2162827$0908511D-129B-462D-B0C1-1B1EEC5F3C40,written,
ready,551427,Q2165904,"Cuneiform Tablet TMH 02-3, 266",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165904$23753D81-4183-4AF2-9243-AD85952628B7,Q2165904$56118541-A8C6-4873-B074-D7392312038B,written,
ready,551775,Q2164874,"Cuneiform Tablet CM 20, no. 027",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164874$5A60C789-7151-43D0-BBFD-49E935443BA0,Q2164874$241EF65D-0887-437C-8B00-462A95B2B8B2,written,
ready,551827,Q2170271,Cuneiform Tablet Dar. 216,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2170271$9955A015-9547-4CBC-95F8-B6407FF72848,Q2170271$9B429C18-9F3C-4E78-8EFB-0F67066FF81C,written,
ready,551831,Q2165536,Cuneiform Tablet Dar. 365,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165536$0780B8B6-10A1-40F5-9925-1C1D6B4A2EB2,Q2165536$27962C1E-DD7E-4C2C-A7DA-B995B9AD646A,written,
ready,551866,Q2167949,Cuneiform Tablet Dar. 83,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2167949$3D5B7566-E369-4FAF-96A6-F48F282E7DE0,Q2167949$EB8B49A0-D99F-4F8F-A8F8-B71082CB8361,written,
ready,551870,Q2153232,Cuneiform Tablet Dar. 36,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2153232$46928736-711C-47EC-9F12-9DA41B8B1D6A,Q2153232$A7139D3E-D891-4D8E-AC3C-1C2A1F9C052C,written,
ready,551889,Q2168428,Cuneiform Tablet Dar. 146,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2168428$C0C0917E-1E6E-49F8-B852-ADD610511DE3,Q2168428$B697390A-5D97-44A6-84E3-5AF3CE6E27A4,written,
ready,551923,Q2168322,Cuneiform Tablet Dar. 422,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2168322$7E63D9F2-3A00-45BD-9E41-4F55AC634F53,Q2168322$DA04CF1F-5F12-41C3-A2A7-ED612412B5A0,written,
