write_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,period_property,period_qid,expected_period_label,write_note
ready,545425,P545425,Q2162702,CDLI Seals 023054 (physical),Cuneiform Artifact CDLI Seals 023054 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by Newell Collections of Babylonian Seals, Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P545425",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,545433,P545433,Q1364959,CDLI Seals 023062 (physical),Cuneiform Artifact CDLI Seals 023062 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Newell Collections of Babylonian Seals, Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P545433",P853,Q512140,ED IIIa,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,545937,P545937,Q2166224,CDLI Seals 023608 (physical),Cuneiform Artifact CDLI Seals 023608 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by Newell Collections of Babylonian Seals, Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P545937",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,545976,P545976,Q2165194,CDLI Seals 023647 (physical),Cuneiform Artifact CDLI Seals 023647 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P545976",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,546136,P546136,Q2047114,CDLI Seals 023807 (physical),Cuneiform Artifact CDLI Seals 023807 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P546136",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,546209,P546209,Q2168015,CDLI Seals 023880 (physical),Cuneiform Artifact CDLI Seals 023880 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P546209",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,546589,P546589,Q2148195,CDLI Seals 024075 (physical),Cuneiform Artifact CDLI Seals 024075 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Museo Profano, Vatican CIty, Rome, Italy; CDLI P546589",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,546726,P546726,Q2163597,CDLI Seals 024203 (physical),Cuneiform Artifact CDLI Seals 024203 (physical),"CDLI artifact: Cylinder seal; from Kish (mod. Tell Ingharra); ED IIIb; held by Field Museum of Natural History, Chicago, Illinois, USA; CDLI P546726",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,547567,P547567,Q2163991,CDLI Seals 024995 (physical),Cuneiform Artifact CDLI Seals 024995 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED I-II; held by Collection BIBLE+ORIENT, University of Fribourg, Switzerland; CDLI P547567",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,547588,P547588,Q2163029,CDLI Seals 025016 (physical),Cuneiform Artifact CDLI Seals 025016 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by Collection BIBLE+ORIENT, University of Fribourg, Switzerland; CDLI P547588",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
